id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,country,countrypopulation,countrygdp_per_capita
736041664,A Jesus Garcia,ESP,male,25493,1.72,64,athletics,0,0,0,Spain,46418269,25831.58231
87689776,Aauri Lorena Bokesa,ESP,female,32491,1.8,62,athletics,0,0,0,Spain,46418269,25831.58231
803161695,Abdelaziz Merzougui,ESP,male,33480,1.75,67,athletics,0,0,0,Spain,46418269,25831.58231
302277635,Adel Mechaal,ESP,male,33212,1.82,71,athletics,0,0,0,Spain,46418269,25831.58231
400838338,Adrian Gavira Collado,ESP,male,32037,1.93,89,volleyball,0,0,0,Spain,46418269,25831.58231
228337858,Adriana Martin,ESP,female,35167,1.62,65,archery,0,0,0,Spain,46418269,25831.58231
477738986,Africa Zamorano Sanz,ESP,female,35806,1.7,58,aquatics,0,0,0,Spain,46418269,25831.58231
152408417,Abdul Wahab Zahiri,AFG,male,33751,1.75,68,athletics,0,0,0,Afghanistan,32526562,594.3230812
532037425,A Lam Shin,KOR,female,31678,1.68,56,fencing,0,0,0,South Korea,50617045,27221.52405
47988332,Ahreum Na,KOR,female,32956,1.63,55,cycling,0,0,0,South Korea,50617045,27221.52405
435962603,Aaron Brown,CAN,male,33751,1.98,79,athletics,0,0,1,Canada,35851774,43248.52991
136977152,Adam Froese,CAN,male,33463,1.82,81,hockey,0,0,0,Canada,35851774,43248.52991
983411298,Adam van Koeverden,CAN,male,29980,1.82,85,canoe,0,0,0,Canada,35851774,43248.52991
677622742,Abdelghani Demmou,ALG,male,32537,1.85,75,football,0,0,0,Algeria,39666519,4206.031232
349871091,Abdelhafid Benchabla,ALG,male,31681,1.86,,boxing,0,0,0,Algeria,39666519,4206.031232
904808208,Abdelhakim Amokrane,ALG,male,34464,1.86,70,football,0,0,0,Algeria,39666519,4206.031232
23564778,Abdelkader Chadi,ALG,male,31758,1.78,,boxing,0,0,0,Algeria,39666519,4206.031232
133974151,Abdelkadir Salhi,ALG,male,34047,1.85,79,football,0,0,0,Algeria,39666519,4206.031232
512730813,Abdelmalik Lahoulou,ALG,male,33731,1.77,72,athletics,0,0,0,Algeria,39666519,4206.031232
514096508,Abdelraouf Benguit,ALG,male,35160,1.7,65,football,0,0,0,Algeria,39666519,4206.031232
388896171,Abderrahmane Benamadi,ALG,male,31231,1.83,90,judo,0,0,0,Algeria,39666519,4206.031232
285603057,Abderrahmane Mansouri,ALG,male,34712,1.72,66,cycling,0,0,0,Algeria,39666519,4206.031232
545134894,Abderrahmane Meziane,ALG,male,34400,1.68,62,football,0,0,0,Algeria,39666519,4206.031232
303297765,Adem Boudjemline,ALG,male,34393,1.8,85,wrestling,0,0,0,Algeria,39666519,4206.031232
521041435,Aaron Cook,MDA,male,33240,1.83,80,taekwondo,0,0,0,Moldova,3554150,1848.061804
33922579,Aaron Gate,NZL,male,33203,1.81,71,cycling,0,0,0,New Zealand,4595700,37807.96728
337369662,Abby Erceg,NZL,female,32832,1.75,68,football,0,0,0,New Zealand,4595700,37807.96728
173071782,Aaron Royle,AUS,male,32899,1.8,67,triathlon,0,0,0,Australia,23781169,56310.96299
382571888,Aaron Younger,AUS,male,33506,1.93,100,aquatics,0,0,0,Australia,23781169,56310.96299
390173289,Adam Vella,AUS,male,26096,1.78,92,shooting,0,0,0,Australia,23781169,56310.96299
266237702,Aaron Russell,USA,male,34124,2.05,98,volleyball,0,0,1,United States,321418820,56115.71843
376068084,Abbey D'Agostino,USA,female,33749,1.61,49,athletics,0,0,0,United States,321418820,56115.71843
162792594,Abbey Weitzeil,USA,female,35402,1.78,68,aquatics,1,1,0,United States,321418820,56115.71843
884912136,Abigail Johnston,USA,female,32828,1.66,61,aquatics,0,0,0,United States,321418820,56115.71843
259002430,Adeline Maria Gray,USA,female,33253,1.73,77,wrestling,0,0,0,United States,321418820,56115.71843
447910544,Adrienne Martelli,USA,female,32114,1.86,77,rowing,0,0,0,United States,321418820,56115.71843
915726586,Adrian Portela,ARG,male,31479,1.85,95,handball,0,0,0,Argentina,43416755,13431.87834
638298176,Agustin Mazzilli,ARG,male,32679,1.73,77,hockey,1,0,0,Argentina,43416755,13431.87834
833236523,Agustin Vidal,ARG,male,31966,1.94,100,handball,0,0,0,Argentina,43416755,13431.87834
794585269,Agustina Albertarrio,ARG,female,33970,1.65,55,hockey,0,0,0,Argentina,43416755,13431.87834
441542780,Agustina Habif,ARG,female,33671,1.65,55,hockey,0,0,0,Argentina,43416755,13431.87834
997877719,Ababel Yeshaneh,ETH,female,33441,1.65,54,athletics,0,0,0,Ethiopia,99390750,619.1694065
343694681,Abadi Hadis,ETH,male,35740,1.7,63,athletics,0,0,0,Ethiopia,99390750,619.1694065
591319906,Abbas Abubakar Abbas,BRN,male,35202,1.75,66,athletics,0,0,0,Bahrain,1377237,22600.2141
78813419,Abraham Kipchirchir Rotich,BRN,male,34238,1.83,65,athletics,0,0,0,Bahrain,1377237,22600.2141
555457991,Abraham Naibei Cheroben,BRN,male,33888,1.76,60,athletics,0,0,0,Bahrain,1377237,22600.2141
507726155,Adam Batirov,BRN,male,31060,1.65,71,wrestling,0,0,0,Bahrain,1377237,22600.2141
258556239,Abbas Qali,IOA,male,33888,,,aquatics,0,0,0,,,
262868423,Abdulaziz Alshatti,IOA,male,33176,,,fencing,0,0,0,,,
969824503,Abdullah Alrashidi,IOA,male,23244,1.83,84,shooting,0,0,1,,,
937153550,Abdulrahman Al Faihan,IOA,male,31587,,,shooting,0,0,0,,,
443237540,Ahmad Alafasi,IOA,male,30326,,,shooting,0,0,0,,,
101781750,Abdulkadir Abdullayev,AZE,male,32341,1.88,,boxing,0,0,0,Azerbaijan,9651349,5496.34464
653186701,Adrian Griffith,BAH,male,30997,1.78,75,athletics,0,0,0,Bahamas,388019,22817.23086
521036704,Abbie Brown,GBR,female,35165,1.76,71,rugby sevens,0,0,0,United Kingdom,65138232,43875.96961
275689888,Adam Dixon,GBR,male,31666,1.69,70,hockey,0,0,0,United Kingdom,65138232,43875.96961
487206822,Adam Gemili,GBR,male,34248,1.78,75,athletics,0,0,0,United Kingdom,65138232,43875.96961
561951036,Adam Peaty,GBR,male,34696,1.93,88,aquatics,1,1,0,United Kingdom,65138232,43875.96961
184652432,Adam Yates,GBR,male,33823,1.72,58,cycling,0,0,0,United Kingdom,65138232,43875.96961
897549624,Abdullah Hel Baki,BAN,male,32721,,,shooting,0,0,0,Bangladesh,160995642,1211.701531
149397772,Abbos Rakhmonov,UZB,male,35983,1.61,57,wrestling,0,0,0,Uzbekistan,31299500,2132.070368
803368584,Abdullo Tangriev,UZB,male,29673,1.9,132,judo,0,0,0,Uzbekistan,31299500,2132.070368
256673338,Abbubaker Mobara,RSA,male,34383,1.75,64,football,0,0,0,South Africa,54956920,5723.973357
334169879,Abd Elhalim Mohamed Abou,EGY,male,32662,2.1,88,volleyball,0,0,0,Egypt,91508084,3614.746766
578032534,Abdel Aziz Mehelba,EGY,male,32487,1.76,80,shooting,0,0,0,Egypt,91508084,3614.746766
199516300,Abdelkhalek Elbanna,EGY,male,32328,1.93,95,rowing,0,0,0,Egypt,91508084,3614.746766
570342175,Abdellatif Mohamed Ahmed Mohamed,EGY,male,35041,1.76,120,wrestling,0,0,0,Egypt,91508084,3614.746766
934545704,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,32059,1.85,,boxing,0,0,0,Egypt,91508084,3614.746766
878847288,Adham Ahmed Saleh Kahk,EGY,male,34147,1.6,66,wrestling,0,0,0,Egypt,91508084,3614.746766
16830155,Afaf Elhodhod,EGY,female,35339,1.63,75,shooting,0,0,0,Egypt,91508084,3614.746766
67793782,Ahmed Abdelaal,EGY,male,32667,1.88,89,volleyball,0,0,0,Egypt,91508084,3614.746766
935849614,Ahmed Abdelhay,EGY,male,30913,1.97,87,volleyball,0,0,0,Egypt,91508084,3614.746766
786273274,Ahmed Abelrahman,EGY,male,35211,1.65,60,judo,0,0,0,Egypt,91508084,3614.746766
672789779,Ahmed Afifi,EGY,male,32232,1.94,92,volleyball,0,0,0,Egypt,91508084,3614.746766
873200853,Ahmed Akram,EGY,male,35358,1.88,80,aquatics,0,0,0,Egypt,91508084,3614.746766
364294388,Ahmed Darwish,EGY,male,29769,1.72,80,shooting,0,0,0,Egypt,91508084,3614.746766
23970897,Ahmed El Kotb,EGY,male,33442,1.97,80,volleyball,0,0,0,Egypt,91508084,3614.746766
837684987,Ahmed El-Nemr,EGY,male,28815,1.83,84,archery,0,0,0,Egypt,91508084,3614.746766
635571670,Ahmed Elahmar,EGY,male,30708,1.81,79,handball,0,0,0,Egypt,91508084,3614.746766
916701520,Ahmed Kamar,EGY,male,31674,1.75,60,shooting,0,0,0,Egypt,91508084,3614.746766
205324342,Ahmed Mohamed,EGY,male,35163,1.7,73,shooting,0,0,0,Egypt,91508084,3614.746766
162169475,Ahmed Mohamed,EGY,male,32260,1.85,144,weightlifting,0,0,0,Egypt,91508084,3614.746766
739968078,Ahmed Mohamed Ibrahim Saad,EGY,male,32564,1.65,85,wrestling,0,0,0,Egypt,91508084,3614.746766
575397765,Ahmed Ragab,EGY,male,33510,1.74,81,sailing,0,0,0,Egypt,91508084,3614.746766
101574216,Ahmed Saad,EGY,male,31717,1.6,62,weightlifting,0,0,0,Egypt,91508084,3614.746766
105465611,Ahmed Shaban,EGY,male,28922,1.9,95,shooting,0,0,0,Egypt,91508084,3614.746766
215053268,Abdalaati Iguider,MAR,male,31861,1.73,57,athletics,0,0,0,Morocco,34377511,2878.201342
890222258,Abdelati El Guesse,MAR,male,34027,1.9,72,athletics,0,0,0,Morocco,34377511,2878.201342
189886442,Abdelkebir Ouaddar,MAR,male,22842,1.74,67,equestrian,0,0,0,Morocco,34377511,2878.201342
517007712,Abdelmajid El Hissouf,MAR,male,33870,1.7,56,athletics,0,0,0,Morocco,34377511,2878.201342
140663745,Achraf Kharroubi,MAR,male,33141,1.6,,boxing,0,0,0,Morocco,34377511,2878.201342
763711985,Abdalelah Haroun,QAT,male,35431,1.85,80,athletics,0,0,0,Qatar,2235355,73653.39443
841446548,Abdulrazzaq Murad,QAT,male,33053,1.86,77,handball,0,0,0,Qatar,2235355,73653.39443
602585498,Abubaker Haydar Abdalla,QAT,male,35305,1.8,60,athletics,0,0,0,Qatar,2235355,73653.39443
180751684,Ahmed Bader Magour,QAT,male,35127,1.9,90,athletics,0,0,0,Qatar,2235355,73653.39443
924593601,Abdalla Targan,SUD,male,35336,1.77,65,athletics,0,0,0,Sudan,40234882,2414.723601
189931373,Abdelaziz Mohamed Ahmed,SUD,male,34619,1.81,72,aquatics,0,0,0,Sudan,40234882,2414.723601
862822782,Ahmed Ali,SUD,male,34288,1.73,75,athletics,0,0,0,Sudan,40234882,2414.723601
236523132,Adam Imer,BRA,male,32738,1.82,88,hockey,0,0,0,Brazil,207847528,8538.589975
993710181,Adenizia da Silva,BRA,female,31764,1.87,65,volleyball,0,0,0,Brazil,207847528,8538.589975
930618704,Adilson da Silva,BRA,male,26322,1.7,79,golf,0,0,0,Brazil,207847528,8538.589975
787208883,Adrian Baches,BRA,male,32970,1.84,83,aquatics,0,0,0,Brazil,207847528,8538.589975
80367651,Adriana Aparecida da Silva,BRA,female,29789,1.66,52,athletics,0,0,0,Brazil,207847528,8538.589975
593328448,Adriana Araujo,BRA,female,29894,1.67,,boxing,0,0,0,Brazil,207847528,8538.589975
529241363,Adriana Moises,BRA,female,28830,1.7,65,basketball,0,0,0,Brazil,207847528,8538.589975
28097741,Agatha Bednarczuk,BRA,female,30489,1.82,70,volleyball,0,1,0,Brazil,207847528,8538.589975
877850429,Abraham Niyonkuru,BDI,male,32868,1.62,52,athletics,0,0,0,Burundi,11178921,277.0683092
259675127,Abdoulkarim Fawziya,CMR,female,32568,1.8,67,volleyball,0,0,0,Cameroon,23344179,1217.26067
634178292,Aichen Wang,CHN,male,31134,1.85,75,sailing,0,0,0,China,1371220000,8027.68381
64529046,Abdi Hakin Ulad,DEN,male,33403,1.75,57,athletics,0,0,0,Denmark,5676002,51989.29347
220410298,Agnete Kirk Thinggaard,DEN,female,30454,1.72,62,equestrian,0,0,0,Denmark,5676002,51989.29347
917755766,Abdi Nageeye,NED,male,32569,1.65,54,athletics,0,0,0,Netherlands,16936520,44299.76809
457663778,Adelinde Cornelissen,NED,female,29043,1.68,55,equestrian,0,0,0,Netherlands,16936520,44299.76809
26797739,Ae-Ri Noort,NED,female,30326,1.6,49,rowing,0,0,0,Netherlands,16936520,44299.76809
998446972,Afrodite Zegers,NED,female,33574,1.61,58,sailing,0,0,0,Netherlands,16936520,44299.76809
184980926,Abdi Waiss Mouhyadin,DJI,male,35249,1.6,60,athletics,0,0,0,Djibouti,887861,1945.124293
702606719,Abdoul Khadre Mbaye Niane,SEN,male,32375,1.9,90,aquatics,0,0,0,Senegal,15129273,899.5798795
685532077,Adama Diatta,SEN,male,32369,1.65,57,wrestling,0,0,0,Senegal,15129273,899.5798795
537808926,Aida Fall,SEN,female,31726,1.93,95,basketball,0,0,0,Senegal,15129273,899.5798795
469953606,Abdoullah Bamoussa,ITA,male,31571,,,athletics,0,0,0,Italy,60802085,29957.80432
217850967,Adrian Ignacio Carambula Raurich,ITA,male,32218,1.82,83,volleyball,0,0,0,Italy,60802085,29957.80432
971796358,Aglaia Pezzato,ITA,female,34446,1.75,60,aquatics,0,0,0,Italy,60802085,29957.80432
962468808,Abdoulrazak Issoufou Alfaga,NIG,male,34694,2.07,98,taekwondo,0,1,0,Niger,19899120,358.958152
215275770,Ahmed Goumar,NIG,male,32195,1.8,73,judo,0,0,0,Niger,19899120,358.958152
958967643,Abdul Khalili,SWE,male,33762,1.81,71,football,0,0,0,Sweden,9798871,50579.67365
624366946,Adam Lundqvist,SWE,male,34413,1.74,70,football,0,0,0,Sweden,9798871,50579.67365
256936407,Adnan Maric,SWE,male,35478,1.83,78,football,0,0,0,Sweden,9798871,50579.67365
637015297,Adrian Andres Puentes Perez,CUB,male,32327,1.71,76,archery,0,0,0,Cuba,11389562,
839462979,Adrian Chacon,CUB,male,32487,1.87,90,athletics,0,0,0,Cuba,11389562,
679510102,Adrian Eduardo Goide Arredondo,CUB,male,35972,1.91,80,volleyball,0,0,0,Cuba,11389562,
714030791,Adrian Oquendo,CUB,male,32927,1.89,87,rowing,0,0,0,Cuba,11389562,
325809293,Abdul Omar,GHA,male,34245,,,boxing,0,0,0,Ghana,27409893,1369.701122
884912875,Abeku Gyekye Jackson,GHA,male,36628,,,aquatics,0,0,0,Ghana,27409893,1369.701122
785166259,Adam Sebastian Helcelet,CZE,male,33538,1.9,92,athletics,0,0,0,Czech Republic,10551219,17548.33821
153013732,Adela Bruns,CZE,female,31813,1.71,60,shooting,0,0,0,Czech Republic,10551219,17548.33821
123916473,Adela Hanzlickova,CZE,female,34458,1.71,67,wrestling,0,0,0,Czech Republic,10551219,17548.33821
5763609,Abdullah Abkar Mohammed,KSA,male,35431,1.72,73,athletics,0,0,0,Saudi Arabia,31540372,20481.74532
153457,Abdullahi Shehu,NGR,male,34040,1.7,,football,0,0,1,Nigeria,182201962,2640.290739
810258362,Agnes Osazuwa,NGR,female,32838,1.62,65,athletics,0,0,0,Nigeria,182201962,2640.290739
746318262,Abdulrashid Sadulaev,RUS,male,35194,1.77,86,wrestling,1,0,0,Russia,144096812,9092.580536
456381770,Adlan Abdurashidov,RUS,male,33085,1.72,,boxing,0,0,0,Russia,144096812,9092.580536
369092977,Abrar Osman,ERI,male,34335,1.68,58,athletics,0,0,0,Eritrea,,
146197583,Abhinav Bindra,IND,male,30222,1.75,70,shooting,0,0,0,India,1311050527,1598.259034
890593128,Aditi Ashok,IND,female,35883,1.73,57,golf,0,0,0,India,1311050527,1598.259034
221052317,Abigel Joo,HUN,female,33091,1.83,76,judo,0,0,0,Hungary,9844686,12363.54346
256805041,Adam Decker,HUN,male,30741,2.03,115,aquatics,0,0,0,Hungary,9844686,12363.54346
394945344,Adam Marosi,HUN,male,30889,1.81,75,modern pentathlon,0,0,0,Hungary,9844686,12363.54346
765490473,Adam Pattantyus,HUN,male,28773,1.75,71,table tennis,0,0,0,Hungary,9844686,12363.54346
846863992,Adam Telegdy,HUN,male,35004,1.94,77,aquatics,0,0,0,Hungary,9844686,12363.54346
370799805,Adrian Juhasz,HUN,male,32830,1.88,89,rowing,0,0,0,Hungary,9844686,12363.54346
157637514,Ablaikhan Zhussupov,KAZ,male,35440,1.75,,boxing,0,0,0,Kazakhstan,17544126,10509.98107
75289002,Adilbek Niyazymbetov,KAZ,male,32647,1.8,,boxing,0,1,0,Kazakhstan,17544126,10509.98107
439382128,Adrien Bart,FRA,male,33485,1.85,84,canoe,0,0,0,France,66808385,36205.5681
326016199,Adrien Dipanda,FRA,male,32266,2.02,105,handball,0,1,0,France,66808385,36205.5681
107504792,Agnes Raharolahy,FRA,female,33915,1.67,58,athletics,0,0,0,France,66808385,36205.5681
222063859,Adama Jammeh,GAM,male,34130,,,athletics,0,0,0,Gambia,1990924,471.5371955
970243540,Adam Okruashvili,GEO,male,32509,1.89,130,judo,0,0,0,Georgia,3679000,3795.973308
60265240,Adam Cwalina,POL,male,31073,1.87,81,badminton,0,0,0,Poland,37999494,12554.54755
682367963,Adam Kszczot,POL,male,32753,1.78,68,athletics,0,0,0,Poland,37999494,12554.54755
983184686,Adam Wisniewski,POL,male,29518,1.93,93,handball,0,0,0,Poland,37999494,12554.54755
941631433,Adrian Blocki,POL,male,32974,1.74,62,athletics,0,0,0,Poland,37999494,12554.54755
366608701,Adrian Dziolko,POL,male,32926,1.89,85,badminton,0,0,0,Poland,37999494,12554.54755
242818896,Adrian Edward Zielinski,POL,male,32595,1.7,94,weightlifting,0,0,0,Poland,37999494,12554.54755
42409524,Agata Forkasiewicz,POL,female,34347,1.68,54,athletics,0,0,0,Poland,37999494,12554.54755
726686017,Agnieszka Dygacz,POL,female,31246,1.6,47,athletics,0,0,0,Poland,37999494,12554.54755
517578131,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,30397,1.75,69,wrestling,0,0,0,Poland,37999494,12554.54755
120505360,Agnieszka Jerzyk,POL,female,32157,1.7,59,triathlon,0,0,0,Poland,37999494,12554.54755
665715516,Agnieszka Kobus,POL,female,33113,1.77,68,rowing,0,0,1,Poland,37999494,12554.54755
935702937,Agnieszka Nagay,POL,female,29637,1.69,61,shooting,0,0,0,Poland,37999494,12554.54755
220520929,Agnieszka Radwanska,POL,female,32573,1.73,59,tennis,0,0,0,Poland,37999494,12554.54755
527420548,Agnieszka Skrzypulec,POL,female,32662,1.66,53,sailing,0,0,0,Poland,37999494,12554.54755
983479171,Agnieszka Szwarnog,POL,female,31774,1.65,51,athletics,0,0,0,Poland,37999494,12554.54755
512592841,Adel Gholami,IRI,male,31452,1.95,88,volleyball,0,0,0,Iran,79109272,
216864827,Adel Mojallalimoghadam,IRI,male,34049,1.85,82,canoe,0,0,0,Iran,79109272,
663592491,Ahmed Ibrahim,IRQ,male,33659,1.84,80,football,0,0,0,Iraq,36423395,4943.760388
266751447,Adam Viktora,SEY,male,35314,1.88,94,aquatics,0,0,0,Seychelles,92900,15476.01944
23462736,Ageze Guadie,ISR,male,32762,1.75,56,athletics,0,0,0,Israel,8380400,35728.0935
730862558,Ai Fukuhara,JPN,female,32448,1.56,48,table tennis,0,0,1,Japan,126958472,32477.21514
488478701,Ai Kondo Yoshida,JPN,female,29530,1.61,58,sailing,0,0,0,Japan,126958472,32477.21514
975475720,Ai Ueda,JPN,female,30615,1.55,44,triathlon,0,0,0,Japan,126958472,32477.21514
213448220,Ahmad Abughaush,JOR,male,35096,1.78,68,taekwondo,1,0,0,Jordan,7594547,4940.045836
46940649,Adas Juskevicius,LTU,male,32511,1.94,90,basketball,0,0,0,Lithuania,2910199,14147.04938
696719880,Aiaal Lazarev,KGZ,male,31490,1.95,125,wrestling,0,0,0,Kyrgyzstan,5957000,1103.215352
325622113,Adelina Bogus,ROU,female,32390,1.86,75,rowing,0,0,1,,,
518639420,Adelina Pastor,ROU,female,34094,1.68,56,athletics,0,0,0,,,
284555275,Adrian Crisan,ROU,male,29348,1.86,85,table tennis,0,0,0,,,
320335499,Agnese Pastare,LAT,female,32443,1.79,68,athletics,0,0,0,Latvia,1978440,13648.54756
684631479,Ahmad Hazer,LIB,male,32755,1.88,80,athletics,0,0,0,Lebanon,5850743,8047.645086
9418987,Ahmed Attellesey,LBA,male,34910,,,aquatics,0,0,0,Libya,6278438,
942902378,Ahmad Amsyar Azman,MAS,male,33844,1.62,62,aquatics,0,0,0,Malaysia,30331007,9768.32686
577601340,Afa Ismail,MDV,female,34274,,,athletics,0,0,0,Maldives,409163,8395.785198
557196811,Adrian Gomboc,SLO,male,34719,1.7,69,judo,0,0,0,Slovenia,2063768,20726.53989
770039735,Adriana Diaz,PUR,female,36830,1.6,50,table tennis,0,0,0,Puerto Rico,3474182,
664737236,Adrien Niyonshuti,RWA,male,31779,1.65,68,cycling,0,0,0,Rwanda,11609666,697.3482281
835610998,Adzo Rebecca Kpossi,TOG,female,36185,1.58,53,aquatics,0,0,0,Togo,7304578,559.6358767
64299896,Ahmed Gebrel,PLE,male,33260,,,aquatics,0,0,0,Palestine,,
508610852,Afef Ben Ismail,TUN,female,34410,1.73,60,canoe,0,0,0,Tunisia,11107800,3872.512084
114527133,Ahmed Mathlouthi,TUN,male,32860,1.9,90,aquatics,0,0,0,Tunisia,11107800,3872.512084
544308054,Ai Wen Yu,TPE,female,35060,1.57,52,shooting,0,0,0,Taiwan,,
585852107,Ahmet Li,TUR,male,33250,1.73,67,table tennis,0,0,0,Turkey,78665830,9125.68759
696999235,Ahmet Orken,TUR,male,34040,1.77,69,cycling,0,0,0,Turkey,78665830,9125.68759
138385356,Ahymara Espinoza,VEN,female,31195,1.8,99,athletics,0,0,0,Venezuela,31108083,
155951731,Aida Mohamed,HUN,female,27831,1.62,58,fencing,0,0,0,Hungary,9844686,12363.54346
531077009,Aida Roman,MEX,female,32284,1.69,64,archery,0,0,0,Mexico,127017224,9005.024265
750356217,Aida Shanaeva,RUS,female,31525,1.73,63,fencing,0,0,0,Russia,144096812,9092.580536
248085477,Aidan Roach,AUS,male,33123,1.87,88,aquatics,0,0,0,Australia,23781169,56310.96299
743883365,Aika Hakoyama,JPN,female,33446,1.76,62,aquatics,0,0,1,Japan,126958472,32477.21514
110469224,Aikaterini Nikolaidou,GRE,female,33899,1.8,70,rowing,0,0,0,Greece,10823732,18002.23058
823094336,Aikaterini-Maria Kontochristopoulou,GRE,female,35591,1.68,58,fencing,0,0,0,Greece,10823732,18002.23058
574808106,Aiko Hayashi,JPN,female,34290,1.66,56,aquatics,0,0,1,Japan,126958472,32477.21514
676958658,Aiko Sugihara,JPN,female,36422,1.46,35,gymnastics,0,0,0,Japan,126958472,32477.21514
420613340,Aileen Reid,IRL,female,30117,1.69,53,triathlon,0,0,0,Ireland,4640703,61133.67243
172676108,Ailen Valente,ARG,female,35150,1.67,58,gymnastics,0,0,0,Argentina,43416755,13431.87834
971329341,Ailly Luciano,NED,female,33322,1.71,69,handball,0,0,0,Netherlands,16936520,44299.76809
356290857,Ailun Guo,CHN,male,34287,1.92,85,basketball,0,0,0,China,1371220000,8027.68381
273034565,Aimee Fisher,NZL,female,34723,1.83,99,canoe,0,0,0,New Zealand,4595700,37807.96728
266091485,Aimee Willmott,GBR,female,34026,1.71,66,aquatics,0,0,0,United Kingdom,65138232,43875.96961
912490592,Aina Cid I Centelles,ESP,female,34578,1.7,60,rowing,0,0,0,Spain,46418269,25831.58231
674464910,Ainhoa Hernandez,ESP,female,34451,1.8,88,handball,0,0,0,Spain,46418269,25831.58231
14183642,Ainhoa Murua,ESP,female,28689,1.6,48,triathlon,0,0,0,Spain,46418269,25831.58231
871394696,Ainur Yesbergenova,KAZ,female,35837,1.64,49,taekwondo,0,0,0,Kazakhstan,17544126,10509.98107
635098552,Airi Hatakeyama,JPN,female,34562,1.71,46,gymnastics,0,0,0,Japan,126958472,32477.21514
965051843,Airine Palsyte,LTU,female,33798,1.87,63,athletics,0,0,0,Lithuania,2910199,14147.04938
840071617,Aisen Chen,CHN,male,34994,1.68,60,aquatics,2,0,0,China,1371220000,8027.68381
704825548,Aisha Praught,JAM,female,32856,1.62,50,athletics,0,0,0,Jamaica,2725941,5232.024583
704391947,Aislin Jones,AUS,female,36564,1.57,51,shooting,0,0,0,Australia,23781169,56310.96299
273177958,Aisuluu Tynybekova,KGZ,female,34093,1.7,58,wrestling,0,0,0,Kyrgyzstan,5957000,1103.215352
191963338,Aitor Martinez Rodriguez,ESP,male,34203,1.83,78,aquatics,0,0,0,Spain,46418269,25831.58231
678408880,Aivi Luik,AUS,female,31124,1.63,58,football,0,0,0,Australia,23781169,56310.96299
234338084,Ajee Wilson,USA,female,34462,1.73,61,athletics,0,0,0,United States,321418820,56115.71843
374861025,Ajla del Ponte,SUI,female,35261,1.68,56,athletics,0,0,0,Switzerland,8286976,80945.07922
504635619,Ajna Kesely,HUN,female,37144,1.65,54,aquatics,0,0,0,Hungary,9844686,12363.54346
680600926,Akalani Baravilala,USA,female,33431,1.68,74,rugby sevens,0,0,0,United States,321418820,56115.71843
213555250,Akane Kuroki,JPN,female,28715,1.65,50,equestrian,0,0,0,Japan,126958472,32477.21514
58865414,Akane Shibata,JPN,female,32263,1.53,50,hockey,0,0,0,Japan,126958472,32477.21514
677730191,Akane Yamaguchi,JPN,female,35587,1.56,55,badminton,0,0,0,Japan,126958472,32477.21514
265984930,Akani Simbine,RSA,male,34233,1.76,74,athletics,0,0,0,South Africa,54956920,5723.973357
285797294,Akashdeep Singh,IND,male,34670,1.78,70,hockey,0,0,0,India,1311050527,1598.259034
769580282,Akeem Haynes,CAN,male,33674,1.68,71,athletics,0,0,1,Canada,35851774,43248.52991
194243947,Akela Jones,BAR,female,34811,1.86,77,athletics,0,0,0,Barbados,284215,15429.34046
58705332,Aki Mitsuhashi,JPN,female,32763,1.66,59,hockey,0,0,0,Japan,126958472,32477.21514
921789441,Aki Yazawa,JPN,female,33547,1.56,50,canoe,0,0,0,Japan,126958472,32477.21514
327133724,Akihiko Nakamura,JPN,male,33169,1.8,73,athletics,0,0,0,Japan,126958472,32477.21514
346354435,Akiko Sato,JPN,female,30721,1.62,58,shooting,0,0,0,Japan,126958472,32477.21514
850163240,Akira Ioane,NZL,male,34866,1.94,113,rugby sevens,0,0,0,New Zealand,4595700,37807.96728
816408353,Akira Yanase,JPN,male,32366,1.91,95,aquatics,0,0,0,Japan,126958472,32477.21514
959689266,Akossiwa Claire Ayivon,TOG,female,35288,,,rowing,0,0,0,Togo,7304578,559.6358767
152032519,Akua Obeng-Akrofi,GHA,female,35256,,,athletics,0,0,0,Ghana,27409893,1369.701122
593452734,Alaa Ali,IRQ,male,35219,1.78,68,football,0,0,0,Iraq,36423395,4943.760388
747058984,Alaaeldin Abouelkassem,EGY,male,33202,1.88,87,fencing,0,0,0,Egypt,91508084,3614.746766
249203070,Alade Aminu,NGR,male,32034,2.1,102,basketball,0,0,0,Nigeria,182201962,2640.290739
158571661,Alain Sign,GBR,male,31446,1.81,84,sailing,0,0,0,United Kingdom,65138232,43875.96961
471888446,Alan Campbell,GBR,male,30445,1.91,96,rowing,0,0,0,United Kingdom,65138232,43875.96961
275659106,Alan Hatherly,RSA,male,35139,1.78,62,cycling,0,0,0,South Africa,54956920,5723.973357
488926827,Alan Sinclair,GBR,male,31336,1.92,96,rowing,0,0,0,United Kingdom,65138232,43875.96961
386179468,Alan Sothern,IRL,male,31986,1.78,76,hockey,0,0,0,Ireland,4640703,61133.67243
68100583,Alana Barber,NZL,female,31966,1.63,52,athletics,0,0,0,New Zealand,4595700,37807.96728
662496867,Alana Boyd,AUS,female,30812,1.71,59,athletics,0,0,0,Australia,23781169,56310.96299
